id,target
42,1
96,1
187,1
189,1
190,1
311,1
325,1
338,1
403,1
540,1
571,1
577,1
618,1
634,1
653,1
696,1
834,1
890,1
933,0
969,0
1282,0
1317,0
1328,1
1338,0
1390,1
1410,1
1447,1
1496,1
1584,1
1607,0
1657,0
1677,1
1711,0
1863,1
1973,1
2010,1
2101,1
2116,0
2143,0
2180,1
2203,0
2232,1
2391,0
2502,0
2531,0
2542,0
2550,1
2681,0
2745,0
2749,0
2765,1
2881,1
2915,1
2932,0
2978,1
2981,0
3026,1
3084,0
3118,1
3164,0
3178,0
3232,0
3281,1
3349,1
3452,1
3462,1
3478,1
3480,1
3605,0
3619,0
3700,0
3727,0
3746,0
3803,1
3829,1
3871,0
3889,0
3917,0
3921,0
4075,1
4178,1
4196,0
4280,1
4335,1
4352,0
4437,1
4590,1
4637,1
4730,0
4910,0
4968,0
4979,1
5053,1
5336,0
5392,0
5426,0
5429,0
5459,1
5527,0
5556,1
5737,0
5754,0
5809,0
5833,1
5869,0
5957,1
6140,1
6182,0
6220,0
6284,1
6306,1
6361,0
6385,0
6452,0
6604,0
6622,0
6644,0
6659,1
6663,1
6713,0
6832,0
6846,1
6873,0
6941,0
7004,0
7052,0
7149,0
7151,0
7161,0
7269,1
7296,1
7420,1
7456,0
7608,0
7617,0
7671,1
7776,0
7829,1
7862,0
7868,1
7968,1
8056,1
8078,1
8080,0
8091,1
8142,0
8228,0
8254,0
8321,1
8328,1
8331,0
8532,1
8631,0
8842,1
8882,0
8916,1
8958,1
9032,0
9055,0
9072,1
9210,1
9244,1
9305,1
9398,1
9429,0
9509,0
9560,1
9566,0
9632,1
9785,0
9787,0
9789,1
9931,1
9987,1
10009,1
10047,1
10137,1
10192,1
10261,0
10323,0
10355,1
10408,0
10472,0
10498,0
10540,0
10642,1
10665,1
10673,0
10774,0
10798,0
10803,0
10944,0
11070,1
11080,1
11218,1
11255,1
11279,0
11301,0
11571,1
11686,0
11863,1
11866,1
11998,1
12044,0
12073,1
12086,1
12096,0
12159,1
12166,0
12272,0
12308,0
12314,1
12575,0
12636,0
12848,1
12920,0
12935,0
13054,1
13085,1
13164,1
13251,0
13320,0
13471,1
13552,0
13661,0
13700,0
14002,0
14005,1
14055,0
14114,0
14136,0
14187,1
14311,1
14320,0
14359,1
14413,1
14464,0
14491,0
14545,0
14568,0
14592,1
14789,1
14889,0
14911,0
14973,0
15028,1
15069,0
15235,1
15286,0
15342,1
15346,1
15356,1
15393,0
15457,0
15486,1
15541,0
15543,0
15574,0
15605,1
15652,1
15773,1
15788,0
16189,0
16196,0
16330,1
16528,1
16661,1
16662,1
16997,0
17059,1
17100,1
17163,1
17199,1
17202,0
17210,0
17383,0
17456,0
17476,0
17479,0
17499,0
17500,1
17504,0
17516,0
17589,0
17595,1
17604,0
17620,0
17641,1
17665,0
17681,0
17719,0
17737,1
17767,1
17946,0
17973,0
18013,1
18179,1
18327,0
18347,0
18387,1
18513,1
18521,1
18675,0
18766,1
18875,1
18903,1
18970,1
19098,0
19167,0
19171,0
19173,0
19209,1
19232,0
19270,1
19395,0
19668,0
19832,0
19958,1
20051,0
20094,1
20196,1
20215,1
20282,0
20299,0
20371,0
20450,1
20495,0
20500,1
20764,1
20771,1
20819,1
20846,0
20854,1
20928,0
21050,0
21056,0
21140,1
21283,0
21334,0
21371,1
21387,1
21467,1
21501,0
21506,0
21553,0
21639,1
21650,0
21684,0
21696,1
21730,0
21774,0
21784,1
21906,0
22014,0
22029,0
22140,0
22178,0
22217,1
22273,0
22372,1
22454,0
22581,1
22590,1
22609,1
22713,1
22753,0
22783,1
22925,1
22951,0
22958,0
22964,1
23092,1
23160,0
23217,1
23300,0
23333,1
23485,0
23533,0
23567,0
23593,0
23608,1
23630,1
23720,1
23729,1
23760,1
23834,1
24065,1
24134,1
24136,1
24413,0
24429,1
24432,0
24604,1
24607,0
24848,0
24927,1
24979,0
25147,1
25225,0
25235,0
25290,1
25315,0
25349,1
25491,0
25627,0
25711,1
25720,1
25721,0
25777,1
25886,1
26068,0
26077,1
26202,1
26295,1
26356,0
26393,0
26431,1
26617,0
26671,0
26703,0
26742,1
26855,0
27065,1
27081,1
27204,1
27221,1
27234,0
27315,1
27375,1
27406,0
27423,1
27428,0
27454,1
27494,1
27510,1
27690,1
27691,1
27747,0
27757,0
27791,0
27893,1
27898,0
27963,0
27964,1
28266,0
28471,0
28513,1
28593,1
28656,1
28691,1
28878,1
28880,0
28969,0
29057,0
29072,0
29160,1
29187,1
29324,1
29436,0
29543,1
29619,0
29701,1
29705,1
29722,0
29740,0
29750,1
29778,1
29782,0
29789,0
29832,0
29835,0
29845,1
29860,0
29877,0
29883,0
29948,0
29983,0
29997,1
30036,1
30076,1
30125,0
30143,0
30217,1
30235,0
30314,1
30339,1
30410,0
30557,0
30596,0
30706,1
30820,0
30834,0
30916,0
30920,0
30957,0
31096,0
31163,0
31179,0
31193,0
31339,0
31375,0
31421,0
31493,0
31508,0
31574,0
31800,0
31823,0
31880,0
31882,0
31952,0
32023,0
32047,0
32267,0
32268,0
32343,0
32466,1
32730,0
32869,0
32988,0
33058,1
33087,0
33266,1
33327,1
33413,0
33458,1
33492,0
33530,0
33600,0
33642,1
33773,1
33818,0
33849,0
33862,0
33881,0
33997,0
34102,1
34119,1
34246,0
34262,1
34337,0
34346,1
34352,0
34419,0
34568,0
34655,1
34750,0
34865,0
34883,0
34969,0
35275,0
35376,1
35385,0
35426,0
35433,0
35474,0
35506,0
35518,0
35660,1
35740,1
35844,1
35947,0
35961,0
36048,0
36066,0
36078,0
36141,0
36156,0
36195,0
36252,1
36292,0
36344,0
36443,0
36623,0
37138,0
37543,1
37778,1
37911,1
37918,0
37966,0
38095,0
38106,0
38200,0
38245,0
38267,0
38375,1
38475,1
38556,1
38584,1
38592,1
38798,1
38921,1
38980,1
39046,1
39103,1
39116,1
39123,1
39133,1
39137,1
39240,1
39251,1
39262,1
39283,1
39342,1
39344,1
39345,1
39387,1
39398,1
39444,1
39523,1
39679,1
39691,1
39695,1
39967,1
40024,1
40138,1
40184,1
40293,1
40380,1
40490,1
40539,1
40580,1
40637,1
40657,1
40678,1
40784,1
40799,1
40823,1
40825,1
40865,0
40922,0
40995,0
41004,0
41138,0
41187,0
41486,0
41491,0
41630,0
41648,0
41743,0
41829,0
41838,0
42029,0
42072,0
42073,0
42159,0
42176,0
42261,0
42275,0
42294,0
42373,0
42377,0
42478,0
42574,0
42620,0
42840,0
42937,0
42962,0
43031,0
43045,0
43056,0
43112,0
43243,0
43271,0
43352,0
43386,0
43407,0
43451,0
43485,0
43495,0
43524,0
43639,0
43657,0
43663,0
43673,0
43691,0
43953,0
44200,0
44206,0
44372,0
44382,0
44399,0
44441,0
44506,0
44602,0
44613,0
44630,0
44635,0
44651,0
44653,0
44742,0
44791,0
44814,0
44963,0
44979,0
44996,0
45111,0
45300,0
45448,0
45491,0
45500,0
45561,0
45578,0
45620,0
45677,0
45679,0
45730,0
45761,0
45768,0
45771,0
45783,0
45804,0
45945,0
45956,1
46030,0
46122,0
46124,0
46127,0
46147,0
46155,0
46352,0
46387,0
46389,0
46463,0
46534,0
46613,0
46732,1
46763,0
46770,0
46975,0
47105,0
47135,0
47235,0
47355,0
47438,0
47467,0
47484,0
47550,0
47574,0
47577,0
47641,0
47651,0
47677,0
47781,0
47918,0
47986,0
48012,0
48087,0
48103,0
48190,0
48208,0
48236,0
48270,0
48325,0
48386,0
48412,0
48542,0
48567,0
48739,0
48770,0
48831,0
48848,0
48867,0
48875,0
48880,0
48927,0
48950,0
48985,0
49124,0
49382,0
49452,0
49686,0
49877,0
49897,0
50003,0
50180,0
50197,0
50357,0
50509,0
50569,0
50610,0
50681,0
50712,0
